,C,Gamma,Accuracy,Std,Time_train
0,1e-10,1e-10,0.6787878787878788,0.12970263369110727,0.09521794319152832
1,1e-10,1.6681005372000592e-08,0.9696969696969696,0.06583503328000129,0.10593843460083008
2,1e-10,2.782559402207126e-06,0.9878787878787879,0.03833063830507125,0.11491608619689941
3,1e-10,0.0004641588833612782,0.9878787878787879,0.03833063830507125,0.1159517765045166
4,1e-10,0.07742636826811278,0.4484848484848485,0.29141370376172865,0.1289079189300537
5,1e-10,12.915496650148826,0.43636363636363645,0.256414494561287,0.16291165351867676
6,1e-10,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.14591693878173828
7,1e-10,359381.36638046405,0.17575757575757575,0.20354976513632317,0.1472930908203125
8,1e-10,59948425.03189421,0.17575757575757575,0.20354976513632317,0.13913822174072266
9,1e-10,10000000000.0,0.17575757575757575,0.20354976513632317,0.15591192245483398
10,1.6681005372000592e-08,1e-10,0.6787878787878788,0.12970263369110727,0.10593795776367188
11,1.6681005372000592e-08,1.6681005372000592e-08,0.993939393939394,0.01916531915253563,0.11695384979248047
12,1.6681005372000592e-08,2.782559402207126e-06,0.9878787878787879,0.03833063830507125,0.11393499374389648
13,1.6681005372000592e-08,0.0004641588833612782,0.9878787878787879,0.03833063830507125,0.12291741371154785
14,1.6681005372000592e-08,0.07742636826811278,0.4484848484848485,0.29141370376172865,0.13692164421081543
15,1.6681005372000592e-08,12.915496650148826,0.44242424242424244,0.2514968960151083,0.16294169425964355
16,1.6681005372000592e-08,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.14891743659973145
17,1.6681005372000592e-08,359381.36638046405,0.17575757575757575,0.20354976513632317,0.1599118709564209
18,1.6681005372000592e-08,59948425.03189421,0.17575757575757575,0.20354976513632317,0.13194561004638672
19,1.6681005372000592e-08,10000000000.0,0.17575757575757575,0.20354976513632317,0.13511037826538086
20,2.782559402207126e-06,1e-10,0.6787878787878788,0.12970263369110727,0.09811973571777344
21,2.782559402207126e-06,1.6681005372000592e-08,0.993939393939394,0.01916531915253563,0.11394166946411133
22,2.782559402207126e-06,2.782559402207126e-06,0.9878787878787879,0.03833063830507125,0.11096572875976562
23,2.782559402207126e-06,0.0004641588833612782,0.9878787878787879,0.03833063830507125,0.13091254234313965
24,2.782559402207126e-06,0.07742636826811278,0.4484848484848485,0.29141370376172865,0.13991975784301758
25,2.782559402207126e-06,12.915496650148826,0.44242424242424244,0.2514968960151083,0.22287440299987793
26,2.782559402207126e-06,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.24685931205749512
27,2.782559402207126e-06,359381.36638046405,0.17575757575757575,0.20354976513632317,0.20789170265197754
28,2.782559402207126e-06,59948425.03189421,0.17575757575757575,0.20354976513632317,0.2688462734222412
29,2.782559402207126e-06,10000000000.0,0.17575757575757575,0.20354976513632317,0.15990781784057617
30,0.0004641588833612782,1e-10,0.6787878787878788,0.12970263369110727,0.17290210723876953
31,0.0004641588833612782,1.6681005372000592e-08,0.993939393939394,0.01916531915253563,0.1259303092956543
