,C,Gamma,Degree,Accuracy,Std
0,1e-10,1e-10,2.0,0.9333333333333335,0.0984731927834662
1,1e-10,1e-10,3.0,0.9818181818181819,0.029690784761008216
2,1e-10,1e-10,4.0,0.9090909090909091,0.09958591954639384
3,1e-10,1e-10,5.0,0.9575757575757577,0.042854956435548326
4,1e-10,1.6681005372000592e-08,2.0,0.9333333333333335,0.0984731927834662
5,1e-10,1.6681005372000592e-08,3.0,0.9818181818181819,0.029690784761008216
6,1e-10,1.6681005372000592e-08,4.0,0.9090909090909091,0.09958591954639384
7,1e-10,1.6681005372000592e-08,5.0,0.9575757575757577,0.042854956435548326
8,1e-10,2.782559402207126e-06,2.0,0.9333333333333335,0.0984731927834662
9,1e-10,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216
10,1e-10,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384
11,1e-10,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
12,1e-10,0.0004641588833612782,2.0,0.3151515151515152,0.13952562949359196
13,1e-10,0.0004641588833612782,3.0,0.10909090909090909,0.04285495643554833
14,1e-10,0.0004641588833612782,4.0,0.15757575757575756,0.04285495643554833
15,1e-10,0.0004641588833612782,5.0,0.9575757575757577,0.042854956435548326
16,1e-10,0.07742636826811278,2.0,0.30909090909090914,0.1484539238050411
17,1e-10,0.07742636826811278,3.0,0.09696969696969697,0.043703651823805936
18,1e-10,0.07742636826811278,4.0,0.07272727272727272,0.019165319152535634
19,1e-10,0.07742636826811278,5.0,0.06666666666666667,0.0
20,1e-10,12.915496650148826,2.0,0.30909090909090914,0.1484539238050411
21,1e-10,12.915496650148826,3.0,0.09696969696969697,0.043703651823805936
22,1e-10,12.915496650148826,4.0,0.496969696969697,0.2595468255195619
23,1e-10,12.915496650148826,5.0,0.37575757575757573,0.25627120620443605
24,1e-10,2154.4346900318865,2.0,0.8303030303030302,0.16663911618021235
25,1e-10,2154.4346900318865,3.0,0.6606060606060606,0.24029366789816978
