,C,Gamma,Accuracy,Std
0,1e-10,1e-10,0.6787878787878788,0.12970263369110727
1,1e-10,1.6681005372000592e-08,0.9696969696969696,0.06583503328000129
2,1e-10,2.782559402207126e-06,0.9878787878787879,0.03833063830507125
3,1e-10,0.0004641588833612782,0.9878787878787879,0.03833063830507125
4,1e-10,0.07742636826811278,0.4484848484848485,0.29141370376172865
5,1e-10,12.915496650148826,0.43636363636363645,0.256414494561287
6,1e-10,2154.4346900318865,0.17575757575757575,0.20354976513632317
7,1e-10,359381.36638046405,0.17575757575757575,0.20354976513632317
8,1e-10,59948425.03189421,0.17575757575757575,0.20354976513632317
9,1e-10,10000000000.0,0.17575757575757575,0.20354976513632317
10,1.6681005372000592e-08,1e-10,0.6787878787878788,0.12970263369110727
11,1.6681005372000592e-08,1.6681005372000592e-08,0.993939393939394,0.01916531915253563
12,1.6681005372000592e-08,2.782559402207126e-06,0.9878787878787879,0.03833063830507125
13,1.6681005372000592e-08,0.0004641588833612782,0.9878787878787879,0.03833063830507125
14,1.6681005372000592e-08,0.07742636826811278,0.4484848484848485,0.29141370376172865
15,1.6681005372000592e-08,12.915496650148826,0.44242424242424244,0.2514968960151083
16,1.6681005372000592e-08,2154.4346900318865,0.17575757575757575,0.20354976513632317
17,1.6681005372000592e-08,359381.36638046405,0.17575757575757575,0.20354976513632317
18,1.6681005372000592e-08,59948425.03189421,0.17575757575757575,0.20354976513632317
19,1.6681005372000592e-08,10000000000.0,0.17575757575757575,0.20354976513632317
20,2.782559402207126e-06,1e-10,0.6787878787878788,0.12970263369110727
21,2.782559402207126e-06,1.6681005372000592e-08,0.993939393939394,0.01916531915253563
22,2.782559402207126e-06,2.782559402207126e-06,0.9878787878787879,0.03833063830507125
23,2.782559402207126e-06,0.0004641588833612782,0.9878787878787879,0.03833063830507125
24,2.782559402207126e-06,0.07742636826811278,0.4484848484848485,0.29141370376172865
25,2.782559402207126e-06,12.915496650148826,0.44242424242424244,0.2514968960151083
26,2.782559402207126e-06,2154.4346900318865,0.17575757575757575,0.20354976513632317
27,2.782559402207126e-06,359381.36638046405,0.17575757575757575,0.20354976513632317
28,2.782559402207126e-06,59948425.03189421,0.17575757575757575,0.20354976513632317
29,2.782559402207126e-06,10000000000.0,0.17575757575757575,0.20354976513632317
30,0.0004641588833612782,1e-10,0.6787878787878788,0.12970263369110727
31,0.0004641588833612782,1.6681005372000592e-08,0.993939393939394,0.01916531915253563
32,0.0004641588833612782,2.782559402207126e-06,0.9878787878787879,0.03833063830507125
33,0.0004641588833612782,0.0004641588833612782,0.9878787878787879,0.03833063830507125
34,0.0004641588833612782,0.07742636826811278,0.4484848484848485,0.29141370376172865
35,0.0004641588833612782,12.915496650148826,0.44242424242424244,0.2514968960151083
36,0.0004641588833612782,2154.4346900318865,0.17575757575757575,0.20354976513632317
37,0.0004641588833612782,359381.36638046405,0.17575757575757575,0.20354976513632317
38,0.0004641588833612782,59948425.03189421,0.17575757575757575,0.20354976513632317
39,0.0004641588833612782,10000000000.0,0.17575757575757575,0.20354976513632317
40,0.07742636826811278,1e-10,0.6787878787878788,0.12970263369110727
41,0.07742636826811278,1.6681005372000592e-08,0.993939393939394,0.01916531915253563
42,0.07742636826811278,2.782559402207126e-06,0.9878787878787879,0.03833063830507125
43,0.07742636826811278,0.0004641588833612782,0.9878787878787879,0.03833063830507125
44,0.07742636826811278,0.07742636826811278,0.4484848484848485,0.29141370376172865
45,0.07742636826811278,12.915496650148826,0.4484848484848485,0.2479669399451974
