,C,Gamma,Degree,Accuracy,Std,Time_train
0,1e-10,1e-10,2.0,0.9333333333333335,0.0984731927834662,0.13392329216003418
1,1e-10,1e-10,3.0,0.9818181818181819,0.029690784761008216,0.14691686630249023
2,1e-10,1e-10,4.0,0.9090909090909091,0.09958591954639384,0.22587084770202637
3,1e-10,1e-10,5.0,0.9575757575757577,0.042854956435548326,0.13891911506652832
4,1e-10,1.6681005372000592e-08,2.0,0.9333333333333335,0.0984731927834662,0.1139373779296875
5,1e-10,1.6681005372000592e-08,3.0,0.9818181818181819,0.029690784761008216,0.14991474151611328
6,1e-10,1.6681005372000592e-08,4.0,0.9090909090909091,0.09958591954639384,0.13592028617858887
7,1e-10,1.6681005372000592e-08,5.0,0.9575757575757577,0.042854956435548326,0.11992955207824707
8,1e-10,2.782559402207126e-06,2.0,0.9333333333333335,0.0984731927834662,0.12592864036560059
9,1e-10,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216,0.11493325233459473
10,1e-10,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384,0.11993050575256348
11,1e-10,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326,0.10694026947021484
12,1e-10,0.0004641588833612782,2.0,0.3151515151515152,0.13952562949359196,0.11495232582092285
13,1e-10,0.0004641588833612782,3.0,0.10909090909090909,0.04285495643554833,0.2988109588623047
14,1e-10,0.0004641588833612782,4.0,0.15757575757575756,0.04285495643554833,0.18989276885986328
15,1e-10,0.0004641588833612782,5.0,0.9575757575757577,0.042854956435548326,0.16990184783935547
16,1e-10,0.07742636826811278,2.0,0.30909090909090914,0.1484539238050411,0.11093473434448242
17,1e-10,0.07742636826811278,3.0,0.09696969696969697,0.043703651823805936,0.10094261169433594
18,1e-10,0.07742636826811278,4.0,0.07272727272727272,0.019165319152535634,0.10496044158935547
19,1e-10,0.07742636826811278,5.0,0.06666666666666667,0.0,0.09892511367797852
20,1e-10,12.915496650148826,2.0,0.30909090909090914,0.1484539238050411,0.12392687797546387
21,1e-10,12.915496650148826,3.0,0.09696969696969697,0.043703651823805936,0.11393451690673828
22,1e-10,12.915496650148826,4.0,0.496969696969697,0.2595468255195619,0.13094592094421387
23,1e-10,12.915496650148826,5.0,0.37575757575757573,0.25627120620443605,0.1229090690612793
24,1e-10,2154.4346900318865,2.0,0.8303030303030302,0.16663911618021235,0.11093616485595703
25,1e-10,2154.4346900318865,3.0,0.6606060606060606,0.24029366789816978,0.12494993209838867
26,1e-10,2154.4346900318865,4.0,0.4848484848484848,0.2622219109428356,0.18187522888183594
27,1e-10,2154.4346900318865,5.0,0.37575757575757573,0.25627120620443605,0.14391827583312988
28,1e-10,359381.36638046405,2.0,0.8303030303030304,0.18719327529067276,0.14191961288452148
29,1e-10,359381.36638046405,3.0,0.6606060606060606,0.24029366789816978,0.12193036079406738
30,1e-10,359381.36638046405,4.0,0.4848484848484848,0.2622219109428356,0.1289229393005371
31,1e-10,359381.36638046405,5.0,0.37575757575757573,0.25627120620443605,0.13592243194580078
32,1e-10,59948425.03189421,2.0,0.8303030303030304,0.18719327529067276,0.11893248558044434
33,1e-10,59948425.03189421,3.0,0.6606060606060606,0.24029366789816978,0.16590595245361328
34,1e-10,59948425.03189421,4.0,0.4848484848484848,0.2622219109428356,0.13092374801635742
35,1e-10,59948425.03189421,5.0,0.06666666666666667,0.0,0.07195806503295898
36,1e-10,10000000000.0,2.0,0.8303030303030304,0.18719327529067276,0.10696029663085938
37,1e-10,10000000000.0,3.0,0.6606060606060606,0.24029366789816978,0.10693907737731934
38,1e-10,10000000000.0,4.0,0.06666666666666667,0.0,0.07294106483459473
39,1e-10,10000000000.0,5.0,0.06666666666666667,0.0,0.07995033264160156
40,1.6681005372000592e-08,1e-10,2.0,0.9333333333333335,0.0984731927834662,0.12393021583557129
41,1.6681005372000592e-08,1e-10,3.0,0.9818181818181819,0.029690784761008216,0.09994196891784668
42,1.6681005372000592e-08,1e-10,4.0,0.9090909090909091,0.09958591954639384,0.1119379997253418
43,1.6681005372000592e-08,1e-10,5.0,0.9575757575757577,0.042854956435548326,0.15091204643249512
44,1.6681005372000592e-08,1.6681005372000592e-08,2.0,0.9333333333333335,0.0984731927834662,0.12292933464050293
45,1.6681005372000592e-08,1.6681005372000592e-08,3.0,0.9818181818181819,0.029690784761008216,0.11993026733398438
