,C,Gamma,Degree,Accuracy,Std,Time_train
0,1e-10,1e-10,2.0,0.9333333333333335,0.0984731927834662,0.08497238159179688
1,1e-10,1e-10,3.0,0.9818181818181819,0.029690784761008216,0.09692668914794922
2,1e-10,1e-10,4.0,0.9090909090909091,0.09958591954639384,0.1079554557800293
3,1e-10,1e-10,5.0,0.9575757575757577,0.042854956435548326,0.10094332695007324
4,1e-10,1.6681005372000592e-08,2.0,0.9333333333333335,0.0984731927834662,0.08694934844970703
5,1e-10,1.6681005372000592e-08,3.0,0.9818181818181819,0.029690784761008216,0.09194731712341309
6,1e-10,1.6681005372000592e-08,4.0,0.9090909090909091,0.09958591954639384,0.09094905853271484
7,1e-10,1.6681005372000592e-08,5.0,0.9575757575757577,0.042854956435548326,0.09992098808288574
8,1e-10,2.782559402207126e-06,2.0,0.9333333333333335,0.0984731927834662,0.08695030212402344
9,1e-10,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216,0.09496665000915527
10,1e-10,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384,0.08994841575622559
11,1e-10,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326,0.09094738960266113
12,1e-10,0.0004641588833612782,2.0,0.3151515151515152,0.13952562949359196,0.09894394874572754
13,1e-10,0.0004641588833612782,3.0,0.10909090909090909,0.04285495643554833,0.1009221076965332
14,1e-10,0.0004641588833612782,4.0,0.15757575757575756,0.04285495643554833,0.08896851539611816
15,1e-10,0.0004641588833612782,5.0,0.9575757575757577,0.042854956435548326,0.09792542457580566
16,1e-10,0.07742636826811278,2.0,0.30909090909090914,0.1484539238050411,0.10194110870361328
17,1e-10,0.07742636826811278,3.0,0.09696969696969697,0.043703651823805936,0.08796977996826172
18,1e-10,0.07742636826811278,4.0,0.07272727272727272,0.019165319152535634,0.09094691276550293
19,1e-10,0.07742636826811278,5.0,0.06666666666666667,0.0,0.0889279842376709
20,1e-10,12.915496650148826,2.0,0.30909090909090914,0.1484539238050411,0.09694623947143555
21,1e-10,12.915496650148826,3.0,0.09696969696969697,0.043703651823805936,0.09294509887695312
22,1e-10,12.915496650148826,4.0,0.496969696969697,0.2595468255195619,0.12195110321044922
23,1e-10,12.915496650148826,5.0,0.37575757575757573,0.25627120620443605,0.11791181564331055
24,1e-10,2154.4346900318865,2.0,0.8303030303030302,0.16663911618021235,0.11693572998046875
25,1e-10,2154.4346900318865,3.0,0.6606060606060606,0.24029366789816978,0.12792301177978516
26,1e-10,2154.4346900318865,4.0,0.4848484848484848,0.2622219109428356,0.11995291709899902
27,1e-10,2154.4346900318865,5.0,0.37575757575757573,0.25627120620443605,0.1249074935913086
28,1e-10,359381.36638046405,2.0,0.8303030303030304,0.18719327529067276,0.11693358421325684
29,1e-10,359381.36638046405,3.0,0.6606060606060606,0.24029366789816978,0.12692713737487793
30,1e-10,359381.36638046405,4.0,0.4848484848484848,0.2622219109428356,0.1579127311706543
31,1e-10,359381.36638046405,5.0,0.37575757575757573,0.25627120620443605,0.1339404582977295
32,1e-10,59948425.03189421,2.0,0.8303030303030304,0.18719327529067276,0.10993790626525879
33,1e-10,59948425.03189421,3.0,0.6606060606060606,0.24029366789816978,0.13989996910095215
34,1e-10,59948425.03189421,4.0,0.4848484848484848,0.2622219109428356,0.13392233848571777
35,1e-10,59948425.03189421,5.0,0.06666666666666667,0.0,0.09694719314575195
36,1e-10,10000000000.0,2.0,0.8303030303030304,0.18719327529067276,0.11693215370178223
37,1e-10,10000000000.0,3.0,0.6606060606060606,0.24029366789816978,0.11293506622314453
38,1e-10,10000000000.0,4.0,0.06666666666666667,0.0,0.06895780563354492
39,1e-10,10000000000.0,5.0,0.06666666666666667,0.0,0.08397459983825684
