,max_depth,min_samples_leaf,Accuracy,Std,Time_process
0,2.0,5.0,0.5878787878787878,0.22168898373541673,0.5483274459838867
1,2.0,6.0,0.5696969696969697,0.20765868726074926,0.2695798873901367
2,2.0,7.0,0.5454545454545454,0.1965730271542649,0.24741554260253906
3,2.0,8.0,0.5393939393939393,0.19990815154509872,0.18493080139160156
4,2.0,9.0,0.496969696969697,0.17376086287068426,0.13801932334899902
5,2.0,10.0,0.45454545454545453,0.16531129329679825,0.14719700813293457
6,2.0,11.0,0.46666666666666673,0.15569978883230456,0.2005913257598877
7,2.0,12.0,0.40606060606060607,0.1253827931247103,0.13154864311218262
8,3.0,5.0,0.5878787878787878,0.22168898373541673,0.269594669342041
9,3.0,6.0,0.5696969696969697,0.20765868726074926,0.3320801258087158
10,3.0,7.0,0.5454545454545454,0.1965730271542649,0.3230164051055908
11,3.0,8.0,0.5393939393939393,0.19990815154509872,0.23182153701782227
12,3.0,9.0,0.496969696969697,0.17376086287068426,0.2474353313446045
13,3.0,10.0,0.45454545454545453,0.16531129329679825,0.25391244888305664
14,3.0,11.0,0.46666666666666673,0.15569978883230456,0.20054054260253906
15,3.0,12.0,0.40606060606060607,0.1253827931247103,0.14715337753295898
16,4.0,5.0,0.5878787878787878,0.22168898373541673,0.16924166679382324
17,4.0,6.0,0.5696969696969697,0.20765868726074926,0.1693251132965088
18,4.0,7.0,0.5454545454545454,0.1965730271542649,0.16277408599853516
19,4.0,8.0,0.5393939393939393,0.19990815154509872,0.16928672790527344
20,4.0,9.0,0.496969696969697,0.17376086287068426,0.15369796752929688
21,4.0,10.0,0.45454545454545453,0.16531129329679825,0.20059633255004883
22,4.0,11.0,0.46666666666666673,0.15569978883230456,0.30087757110595703
23,4.0,12.0,0.40606060606060607,0.1253827931247103,0.21620607376098633
24,5.0,5.0,0.5878787878787878,0.22168898373541673,0.18486642837524414
25,5.0,6.0,0.5696969696969697,0.20765868726074926,0.17839741706848145
26,5.0,7.0,0.5454545454545454,0.1965730271542649,0.15366816520690918
27,5.0,8.0,0.5393939393939393,0.19990815154509872,0.1471254825592041
28,5.0,9.0,0.496969696969697,0.17376086287068426,0.2227494716644287
29,5.0,10.0,0.45454545454545453,0.16531129329679825,0.16276335716247559
30,5.0,11.0,0.46666666666666673,0.15569978883230456,0.1380138397216797
31,5.0,12.0,0.40606060606060607,0.1253827931247103,0.1315298080444336
32,6.0,5.0,0.5878787878787878,0.22168898373541673,0.3008127212524414
33,6.0,6.0,0.5696969696969697,0.20765868726074926,0.300856351852417
34,6.0,7.0,0.5454545454545454,0.1965730271542649,0.2005159854888916
35,6.0,8.0,0.5393939393939393,0.19990815154509872,0.14714527130126953
36,6.0,9.0,0.496969696969697,0.17376086287068426,0.1536271572113037
37,6.0,10.0,0.45454545454545453,0.16531129329679825,0.14712762832641602
38,6.0,11.0,0.46666666666666673,0.15569978883230456,0.2162163257598877
39,6.0,12.0,0.40606060606060607,0.1253827931247103,0.15366721153259277
40,7.0,5.0,0.5878787878787878,0.22168898373541673,0.16930651664733887
41,7.0,6.0,0.5696969696969697,0.20765868726074926,0.17835688591003418
42,7.0,7.0,0.5454545454545454,0.1965730271542649,0.16930723190307617
43,7.0,8.0,0.5393939393939393,0.19990815154509872,0.1848912239074707
44,7.0,9.0,0.496969696969697,0.17376086287068426,0.2005605697631836
45,7.0,10.0,0.45454545454545453,0.16531129329679825,0.15365862846374512
46,7.0,11.0,0.46666666666666673,0.15569978883230456,0.1471400260925293
47,7.0,12.0,0.40606060606060607,0.1253827931247103,0.26957082748413086
48,8.0,5.0,0.5878787878787878,0.22168898373541673,0.18492627143859863
49,8.0,6.0,0.5696969696969697,0.20765868726074926,0.17838382720947266
50,8.0,7.0,0.5454545454545454,0.1965730271542649,0.16934633255004883
51,8.0,8.0,0.5393939393939393,0.19990815154509872,0.23135757446289062
