,max_depth,min_samples_leaf,Accuracy,Std,Time_process
0,2.0,1.0,0.1696969696969697,0.052135304648743205,0.0799565315246582
1,2.0,2.0,0.1696969696969697,0.052135304648743205,0.06896090507507324
2,2.0,3.0,0.1696969696969697,0.052135304648743205,0.06598019599914551
3,2.0,4.0,0.1696969696969697,0.052135304648743205,0.0679621696472168
4,2.0,5.0,0.1696969696969697,0.052135304648743205,0.06396222114562988
5,2.0,6.0,0.1696969696969697,0.052135304648743205,0.06594204902648926
6,2.0,7.0,0.1696969696969697,0.052135304648743205,0.06798171997070312
7,2.0,8.0,0.1696969696969697,0.052135304648743205,0.05896592140197754
8,2.0,9.0,0.1696969696969697,0.052135304648743205,0.06494379043579102
9,2.0,10.0,0.2303030303030303,0.06583503328000131,0.06598234176635742
10,2.0,11.0,0.22424242424242424,0.0652747249349637,0.05896568298339844
11,2.0,12.0,0.1878787878787879,0.03833063830507128,0.06462550163269043
12,2.0,13.0,0.1878787878787879,0.03833063830507128,0.06296372413635254
13,2.0,14.0,0.1878787878787879,0.03833063830507128,0.06394314765930176
14,2.0,15.0,0.1878787878787879,0.03833063830507128,0.058965206146240234
15,3.0,1.0,0.21818181818181817,0.07569694543513208,0.07497835159301758
16,3.0,2.0,0.21818181818181817,0.07569694543513208,0.08393239974975586
17,3.0,3.0,0.21818181818181817,0.07569694543513208,0.07795357704162598
18,3.0,4.0,0.21818181818181817,0.07569694543513208,0.07497835159301758
19,3.0,5.0,0.21818181818181817,0.07569694543513208,0.07593560218811035
20,3.0,6.0,0.21818181818181817,0.07569694543513208,0.08595061302185059
21,3.0,7.0,0.21818181818181817,0.07569694543513208,0.06798171997070312
22,3.0,8.0,0.21818181818181817,0.07569694543513208,0.0679621696472168
23,3.0,9.0,0.22424242424242424,0.07666127661014253,0.07095909118652344
24,3.0,10.0,0.2787878787878788,0.06856793029687733,0.06894159317016602
25,3.0,11.0,0.2606060606060606,0.08265564664839913,0.08596944808959961
26,3.0,12.0,0.23030303030303034,0.04370365182380592,0.08391070365905762
27,3.0,13.0,0.23030303030303034,0.04370365182380592,0.09554409980773926
28,3.0,14.0,0.23636363636363636,0.04370365182380593,0.10693740844726562
29,3.0,15.0,0.23636363636363636,0.04370365182380593,0.08894848823547363
30,4.0,1.0,0.2606060606060606,0.10427060929748638,0.09594440460205078
31,4.0,2.0,0.2606060606060606,0.10427060929748638,0.08794999122619629
32,4.0,3.0,0.2606060606060606,0.10427060929748638,0.10693788528442383
33,4.0,4.0,0.2606060606060606,0.10427060929748638,0.09696674346923828
34,4.0,5.0,0.2606060606060606,0.10427060929748638,0.12290835380554199
35,4.0,6.0,0.2606060606060606,0.10427060929748638,0.16490483283996582
36,4.0,7.0,0.2545454545454546,0.09772433634301272,0.12949848175048828
37,4.0,8.0,0.2545454545454546,0.09772433634301272,0.10394072532653809
38,4.0,9.0,0.26666666666666666,0.0984731927834662,0.0919504165649414
39,4.0,10.0,0.36363636363636365,0.1149919149152138,0.08394813537597656
40,4.0,11.0,0.3333333333333333,0.11370704872299224,0.08295202255249023
41,4.0,12.0,0.3151515151515152,0.04997703788627468,0.08495378494262695
42,4.0,13.0,0.3151515151515152,0.04997703788627468,0.08595037460327148
43,4.0,14.0,0.30909090909090914,0.03206971286138897,0.09194564819335938
44,4.0,15.0,0.30909090909090914,0.03206971286138897,0.07695508003234863
45,5.0,1.0,0.3151515151515152,0.14795824988768125,0.09294652938842773
46,5.0,2.0,0.3151515151515152,0.14795824988768125,0.09396743774414062
47,5.0,3.0,0.3151515151515152,0.14795824988768125,0.08495092391967773
48,5.0,4.0,0.3151515151515152,0.14795824988768125,0.08960509300231934
49,5.0,5.0,0.3151515151515152,0.14795824988768125,0.11593341827392578
50,5.0,6.0,0.3151515151515152,0.14795824988768125,0.09294986724853516
51,5.0,7.0,0.3151515151515152,0.14795824988768125,0.1019585132598877
52,5.0,8.0,0.3151515151515152,0.14795824988768125,0.18787217140197754
53,5.0,9.0,0.3393939393939394,0.14621015856745234,0.22587084770202637
54,5.0,10.0,0.4606060606060606,0.12211782836127201,0.16090726852416992
55,5.0,11.0,0.42424242424242425,0.1429069833036557,0.09094667434692383
56,5.0,12.0,0.4121212121212121,0.07948410332487274,0.09022092819213867
57,5.0,13.0,0.40606060606060607,0.08740730364761186,0.16190838813781738
58,5.0,14.0,0.40000000000000013,0.0752101433090355,0.1639113426208496
59,5.0,15.0,0.4,0.08040302522073697,0.08515787124633789
60,6.0,1.0,0.40606060606060607,0.17627926754241194,0.14691638946533203
61,6.0,2.0,0.40606060606060607,0.17627926754241194,0.12992358207702637
62,6.0,3.0,0.40606060606060607,0.17627926754241194,0.13223028182983398
63,6.0,4.0,0.40606060606060607,0.17627926754241194,0.0979461669921875
64,6.0,5.0,0.40606060606060607,0.17627926754241194,0.10193872451782227
65,6.0,6.0,0.40606060606060607,0.17627926754241194,0.09496688842773438
66,6.0,7.0,0.40606060606060607,0.17627926754241194,0.11391353607177734
67,6.0,8.0,0.406060606060606,0.17855660439583315,0.11962747573852539
68,6.0,9.0,0.4303030303030304,0.1714198257421933,0.11193609237670898
69,6.0,10.0,0.5696969696969698,0.16904637189068303,0.09394431114196777
70,6.0,11.0,0.5090909090909091,0.19126950106738785,0.08695101737976074
71,6.0,12.0,0.44848484848484843,0.11751951169494129,0.07695603370666504
72,6.0,13.0,0.41818181818181815,0.09466969304129277,0.09394645690917969
73,6.0,14.0,0.4181818181818182,0.09030099651970509,0.08794832229614258
74,6.0,15.0,0.4121212121212121,0.09349847648813038,0.08295488357543945
75,7.0,1.0,0.5515151515151515,0.2544011134765498,0.10793614387512207
76,7.0,2.0,0.5515151515151515,0.2544011134765498,0.10795831680297852
77,7.0,3.0,0.5515151515151515,0.2544011134765498,0.10391902923583984
78,7.0,4.0,0.5515151515151515,0.2544011134765498,0.09496712684631348
79,7.0,5.0,0.5454545454545454,0.2555535593007032,0.10591745376586914
80,7.0,6.0,0.5515151515151515,0.2544011134765498,0.1219325065612793
81,7.0,7.0,0.5454545454545454,0.2555535593007032,0.11993169784545898
82,7.0,8.0,0.5393939393939394,0.2581277507763255,0.10022187232971191
83,7.0,9.0,0.5454545454545454,0.2358191085859845,0.1029207706451416
84,7.0,10.0,0.6121212121212122,0.18601223337239767,0.09496641159057617
85,7.0,11.0,0.5272727272727272,0.18953328207408351,0.08562970161437988
86,7.0,12.0,0.44848484848484843,0.11751951169494129,0.07693719863891602
87,7.0,13.0,0.41818181818181815,0.09466969304129277,0.08495140075683594
88,7.0,14.0,0.4181818181818182,0.09030099651970509,0.08594870567321777
89,7.0,15.0,0.4121212121212121,0.09349847648813038,0.07795572280883789
90,8.0,1.0,0.6363636363636364,0.26570072990039967,0.10893917083740234
91,8.0,2.0,0.6303030303030304,0.2687248397260044,0.09994220733642578
92,8.0,3.0,0.6363636363636364,0.25798541398536684,0.10593748092651367
93,8.0,4.0,0.6363636363636364,0.25798541398536684,0.10496044158935547
94,8.0,5.0,0.6303030303030304,0.2595468255195619,0.10294103622436523
95,8.0,6.0,0.6424242424242425,0.2498851894313734,0.09694433212280273
96,8.0,7.0,0.6363636363636364,0.25164290293365693,0.09893155097961426
97,8.0,8.0,0.6424242424242425,0.2530983396099527,0.09937286376953125
98,8.0,9.0,0.6181818181818182,0.2479669399451974,0.09896445274353027
99,8.0,10.0,0.6121212121212122,0.18601223337239767,0.0829312801361084
100,8.0,11.0,0.5272727272727272,0.18953328207408351,0.08395195007324219
101,8.0,12.0,0.44848484848484843,0.11751951169494129,0.07697629928588867
102,8.0,13.0,0.41818181818181815,0.09466969304129277,0.07195878028869629
