,min_impurity,max_depth,min_samples_split,Accuracy,Std
0,1e-10,1.0,2.0,0.11515151515151514,0.029690784761008216
1,1e-10,1.0,3.0,0.11515151515151514,0.029690784761008216
2,1e-10,1.0,4.0,0.11515151515151514,0.029690784761008216
3,1e-10,1.0,5.0,0.11515151515151514,0.029690784761008216
4,1e-10,1.0,6.0,0.11515151515151514,0.029690784761008216
5,1e-10,1.0,7.0,0.11515151515151514,0.029690784761008216
6,1e-10,12.0,2.0,0.6363636363636364,0.2687248397260044
7,1e-10,12.0,3.0,0.6242424242424243,0.27746722769114174
8,1e-10,12.0,4.0,0.6606060606060606,0.25968830649246727
9,1e-10,12.0,5.0,0.6727272727272727,0.24855874732618033
10,1e-10,12.0,6.0,0.6787878787878787,0.24588439727394903
11,1e-10,12.0,7.0,0.6727272727272727,0.2565577028911118
12,1e-10,23.0,2.0,0.6484848484848486,0.260676523243716
13,1e-10,23.0,3.0,0.6242424242424243,0.27746722769114174
14,1e-10,23.0,4.0,0.6545454545454545,0.26180134626006274
15,1e-10,23.0,5.0,0.6727272727272727,0.24855874732618033
16,1e-10,23.0,6.0,0.6787878787878787,0.24588439727394903
17,1e-10,23.0,7.0,0.6727272727272727,0.2565577028911118
18,1e-10,34.0,2.0,0.6484848484848486,0.260676523243716
19,1e-10,34.0,3.0,0.6242424242424243,0.27746722769114174
20,1e-10,34.0,4.0,0.6545454545454545,0.26180134626006274
21,1e-10,34.0,5.0,0.6727272727272727,0.24855874732618033
22,1e-10,34.0,6.0,0.6787878787878787,0.24588439727394903
23,1e-10,34.0,7.0,0.6727272727272727,0.2565577028911118
24,1e-10,45.0,2.0,0.6484848484848486,0.260676523243716
25,1e-10,45.0,3.0,0.6242424242424243,0.27746722769114174
26,1e-10,45.0,4.0,0.6545454545454545,0.26180134626006274
27,1e-10,45.0,5.0,0.6727272727272727,0.24855874732618033
28,1e-10,45.0,6.0,0.6787878787878787,0.24588439727394903
29,1e-10,45.0,7.0,0.6727272727272727,0.2565577028911118
30,1e-10,56.0,2.0,0.6484848484848486,0.260676523243716
31,1e-10,56.0,3.0,0.6242424242424243,0.27746722769114174
32,1e-10,56.0,4.0,0.6545454545454545,0.26180134626006274
33,1e-10,56.0,5.0,0.6727272727272727,0.24855874732618033
34,1e-10,56.0,6.0,0.6787878787878787,0.24588439727394903
35,1e-10,56.0,7.0,0.6727272727272727,0.2565577028911118
36,1e-10,67.0,2.0,0.6484848484848486,0.260676523243716
37,1e-10,67.0,3.0,0.6242424242424243,0.27746722769114174
