,min_impurity,max_depth,min_samples_split,Accuracy,Std
0,1e-50,10.0,2.0,0.6181818181818183,0.23798974443723472
1,1e-50,10.0,3.0,0.5818181818181818,0.23798974443723467
2,1e-50,10.0,4.0,0.5818181818181818,0.24136130608169548
3,1e-50,10.0,5.0,0.5818181818181817,0.23968145373679017
4,1e-50,10.0,6.0,0.6,0.23952815570144856
5,1e-50,10.0,7.0,0.5818181818181817,0.23968145373679017
6,1e-50,53.333333333333336,2.0,0.6181818181818183,0.23798974443723472
7,1e-50,53.333333333333336,3.0,0.5818181818181818,0.23798974443723467
8,1e-50,53.333333333333336,4.0,0.5818181818181818,0.24136130608169548
9,1e-50,53.333333333333336,5.0,0.5818181818181817,0.23968145373679017
10,1e-50,53.333333333333336,6.0,0.6,0.23952815570144856
11,1e-50,53.333333333333336,7.0,0.5818181818181817,0.23968145373679017
12,1e-50,96.66666666666667,2.0,0.6181818181818183,0.23798974443723472
13,1e-50,96.66666666666667,3.0,0.5818181818181818,0.23798974443723467
14,1e-50,96.66666666666667,4.0,0.5818181818181818,0.24136130608169548
15,1e-50,96.66666666666667,5.0,0.5818181818181817,0.23968145373679017
16,1e-50,96.66666666666667,6.0,0.6,0.23952815570144856
17,1e-50,96.66666666666667,7.0,0.5818181818181817,0.23968145373679017
18,1e-50,140.0,2.0,0.6181818181818183,0.23798974443723472
19,1e-50,140.0,3.0,0.5818181818181818,0.23798974443723467
20,1e-50,140.0,4.0,0.5818181818181818,0.24136130608169548
21,1e-50,140.0,5.0,0.5818181818181817,0.23968145373679017
22,1e-50,140.0,6.0,0.6,0.23952815570144856
23,1e-50,140.0,7.0,0.5818181818181817,0.23968145373679017
24,1e-50,183.33333333333334,2.0,0.6181818181818183,0.23798974443723472
25,1e-50,183.33333333333334,3.0,0.5818181818181818,0.23798974443723467
26,1e-50,183.33333333333334,4.0,0.5818181818181818,0.24136130608169548
27,1e-50,183.33333333333334,5.0,0.5818181818181817,0.23968145373679017
28,1e-50,183.33333333333334,6.0,0.6,0.23952815570144856
29,1e-50,183.33333333333334,7.0,0.5818181818181817,0.23968145373679017
30,1e-50,226.66666666666669,2.0,0.6181818181818183,0.23798974443723472
31,1e-50,226.66666666666669,3.0,0.5818181818181818,0.23798974443723467
32,1e-50,226.66666666666669,4.0,0.5818181818181818,0.24136130608169548
33,1e-50,226.66666666666669,5.0,0.5818181818181817,0.23968145373679017
34,1e-50,226.66666666666669,6.0,0.6,0.23952815570144856
35,1e-50,226.66666666666669,7.0,0.5818181818181817,0.23968145373679017
36,1e-50,270.0,2.0,0.6181818181818183,0.23798974443723472
37,1e-50,270.0,3.0,0.5818181818181818,0.23798974443723467
38,1e-50,270.0,4.0,0.5818181818181818,0.24136130608169548
39,1e-50,270.0,5.0,0.5818181818181817,0.23968145373679017
40,1e-50,270.0,6.0,0.6,0.23952815570144856
41,1e-50,270.0,7.0,0.5818181818181817,0.23968145373679017
42,1e-50,313.33333333333337,2.0,0.6181818181818183,0.23798974443723472
43,1e-50,313.33333333333337,3.0,0.5818181818181818,0.23798974443723467
44,1e-50,313.33333333333337,4.0,0.5818181818181818,0.24136130608169548
45,1e-50,313.33333333333337,5.0,0.5818181818181817,0.23968145373679017
46,1e-50,313.33333333333337,6.0,0.6,0.23952815570144856
47,1e-50,313.33333333333337,7.0,0.5818181818181817,0.23968145373679017
48,1e-50,356.6666666666667,2.0,0.6181818181818183,0.23798974443723472
49,1e-50,356.6666666666667,3.0,0.5818181818181818,0.23798974443723467
50,1e-50,356.6666666666667,4.0,0.5818181818181818,0.24136130608169548
51,1e-50,356.6666666666667,5.0,0.5818181818181817,0.23968145373679017
52,1e-50,356.6666666666667,6.0,0.6,0.23952815570144856
53,1e-50,356.6666666666667,7.0,0.5818181818181817,0.23968145373679017
54,1e-50,400.0,2.0,0.6181818181818183,0.23798974443723472
55,1e-50,400.0,3.0,0.5818181818181818,0.23798974443723467
56,1e-50,400.0,4.0,0.5818181818181818,0.24136130608169548
57,1e-50,400.0,5.0,0.5818181818181817,0.23968145373679017
58,1e-50,400.0,6.0,0.6,0.23952815570144856
59,1e-50,400.0,7.0,0.5818181818181817,0.23968145373679017
60,2.1544346900318954e-45,10.0,2.0,0.6181818181818183,0.23798974443723472
61,2.1544346900318954e-45,10.0,3.0,0.5818181818181818,0.23798974443723467
62,2.1544346900318954e-45,10.0,4.0,0.5818181818181818,0.24136130608169548
63,2.1544346900318954e-45,10.0,5.0,0.5818181818181817,0.23968145373679017
64,2.1544346900318954e-45,10.0,6.0,0.6,0.23952815570144856
65,2.1544346900318954e-45,10.0,7.0,0.5818181818181817,0.23968145373679017
66,2.1544346900318954e-45,53.333333333333336,2.0,0.6181818181818183,0.23798974443723472
67,2.1544346900318954e-45,53.333333333333336,3.0,0.5818181818181818,0.23798974443723467
68,2.1544346900318954e-45,53.333333333333336,4.0,0.5818181818181818,0.24136130608169548
69,2.1544346900318954e-45,53.333333333333336,5.0,0.5818181818181817,0.23968145373679017
70,2.1544346900318954e-45,53.333333333333336,6.0,0.6,0.23952815570144856
71,2.1544346900318954e-45,53.333333333333336,7.0,0.5818181818181817,0.23968145373679017
72,2.1544346900318954e-45,96.66666666666667,2.0,0.6181818181818183,0.23798974443723472
73,2.1544346900318954e-45,96.66666666666667,3.0,0.5818181818181818,0.23798974443723467
74,2.1544346900318954e-45,96.66666666666667,4.0,0.5818181818181818,0.24136130608169548
