,min_impurity,max_depth,min_samples_split,Accuracy,Std,Time_process
0,1e-10,5.0,2.0,0.3151515151515152,0.14795824988768125,0.10893440246582031
1,1e-10,5.0,3.0,0.3151515151515152,0.14795824988768125,0.11793184280395508
2,1e-10,5.0,4.0,0.3151515151515152,0.14795824988768125,0.11693310737609863
3,1e-10,5.0,5.0,0.3151515151515152,0.14795824988768125,0.16090631484985352
4,1e-10,5.0,6.0,0.3151515151515152,0.14795824988768125,0.10094404220581055
5,1e-10,5.0,7.0,0.3151515151515152,0.14795824988768125,0.10993742942810059
6,1e-10,7.222222222222222,2.0,0.5515151515151515,0.2544011134765498,0.1748979091644287
7,1e-10,7.222222222222222,3.0,0.5515151515151515,0.2544011134765498,0.11993122100830078
8,1e-10,7.222222222222222,4.0,0.5515151515151515,0.2544011134765498,0.11093521118164062
9,1e-10,7.222222222222222,5.0,0.5454545454545454,0.2555535593007032,0.1119387149810791
10,1e-10,7.222222222222222,6.0,0.5515151515151515,0.2544011134765498,0.11693310737609863
11,1e-10,7.222222222222222,7.0,0.5454545454545454,0.2555535593007032,0.11095476150512695
12,1e-10,9.444444444444445,2.0,0.6606060606060606,0.23690691255384322,0.13892102241516113
13,1e-10,9.444444444444445,3.0,0.6666666666666667,0.2412090756622109,0.14389562606811523
14,1e-10,9.444444444444445,4.0,0.6666666666666666,0.23268307661154508,0.12794733047485352
15,1e-10,9.444444444444445,5.0,0.6545454545454545,0.24914914898296323,0.12792706489562988
16,1e-10,9.444444444444445,6.0,0.6606060606060606,0.24029366789816983,0.1249086856842041
17,1e-10,9.444444444444445,7.0,0.6606060606060606,0.2369069125538432,0.11993288993835449
18,1e-10,11.666666666666668,2.0,0.6545454545454545,0.245884397273949,0.16190528869628906
19,1e-10,11.666666666666668,3.0,0.6787878787878788,0.2392212649210976,0.16990137100219727
20,1e-10,11.666666666666668,4.0,0.6727272727272727,0.25338842376202275,0.12792587280273438
21,1e-10,11.666666666666668,5.0,0.6666666666666667,0.2445362545676608,0.13692259788513184
22,1e-10,11.666666666666668,6.0,0.6666666666666666,0.23783535600422528,0.17090058326721191
23,1e-10,11.666666666666668,7.0,0.6727272727272727,0.2299838298304276,0.13092541694641113
24,1e-10,13.88888888888889,2.0,0.6484848484848486,0.2479669399451974,0.1179344654083252
25,1e-10,13.88888888888889,3.0,0.6787878787878788,0.2392212649210976,0.12892365455627441
26,1e-10,13.88888888888889,4.0,0.6727272727272727,0.25338842376202275,0.11993145942687988
27,1e-10,13.88888888888889,5.0,0.6666666666666667,0.2445362545676608,0.15191411972045898
28,1e-10,13.88888888888889,6.0,0.6666666666666666,0.23783535600422528,0.13292360305786133
29,1e-10,13.88888888888889,7.0,0.6727272727272727,0.2299838298304276,0.10693883895874023
30,1e-10,16.11111111111111,2.0,0.6484848484848486,0.2479669399451974,0.11093497276306152
