,hidden_layer,Accuracy,Std,Time_train
97,"(50, 20, 40)",0.8909090909090908,0.1311109554714178,0.3478388786315918
98,"(50, 20, 60)",0.9090909090909093,0.10356368176142461,0.329913854598999
99,"(50, 20, 80)",0.896969696969697,0.13740344301520768,0.3887779712677002
100,"(50, 30, 20)",0.9030303030303031,0.1149919149152138,0.3059990406036377
101,"(50, 30, 40)",0.9212121212121214,0.0934984764881304,0.3508610725402832
102,"(50, 30, 60)",0.9212121212121211,0.09349847648813038,0.422818660736084
103,"(50, 30, 80)",0.9090909090909093,0.09958591954639386,0.407773494720459
104,"(50, 40, 20)",0.9393939393939394,0.05999693900976766,0.37128591537475586
105,"(50, 40, 40)",0.9333333333333335,0.08040302522073697,0.37541985511779785
106,"(50, 40, 60)",0.9030303030303031,0.09151314466994849,0.4062156677246094
107,"(50, 40, 80)",0.9030303030303031,0.09151314466994848,0.47982287406921387
108,"(50, 50, 20)",0.9212121212121214,0.08907235428302464,0.3839693069458008
109,"(50, 50, 40)",0.9272727272727274,0.0919136417460794,0.4090418815612793
110,"(50, 50, 60)",0.9151515151515152,0.08570991287109668,0.44521093368530273
111,"(50, 50, 80)",0.9151515151515153,0.07569694543513208,0.5294125080108643
112,"(50, 60, 20)",0.9212121212121211,0.08441447440717646,0.43033266067504883
113,"(50, 60, 40)",0.9090909090909093,0.09958591954639384,0.45958805084228516
114,"(50, 60, 60)",0.9090909090909091,0.08656276883082242,0.4751412868499756
115,"(50, 60, 80)",0.9333333333333335,0.0984731927834662,0.6032924652099609
116,"(50, 70, 20)",0.9333333333333335,0.08040302522073695,0.4237959384918213
117,"(50, 70, 40)",0.9333333333333335,0.06963106238227912,0.48365283012390137
118,"(50, 70, 60)",0.9090909090909091,0.07666127661014253,0.5796778202056885
119,"(50, 70, 80)",0.9212121212121214,0.06239775843022423,0.618262529373169
120,"(50, 80, 20)",0.9272727272727274,0.07222045628977565,0.4447355270385742
121,"(50, 80, 40)",0.9151515151515153,0.08570991287109668,0.5685231685638428
122,"(50, 80, 60)",0.9030303030303032,0.09582659576267817,0.6162910461425781
123,"(50, 80, 80)",0.9272727272727274,0.0663906130309292,0.6806130409240723
124,"(50, 90, 20)",0.9151515151515152,0.09030099651970507,0.4935877323150635
